SNP,freq_alt,MAF,n_missing,pct_missing
X.9.57,0.999446,0.000554,5,0.55
X.9.58,0.552954,0.447046,10,1.1
X2.27,0.830178,0.169822,9,0.99
X.9.59,0.945856,0.054144,2,0.22
X.9.60,0.949432,0.050568,27,2.98
X.9.61,0.781285,0.218715,4,0.44
X.9.62,0.973844,0.026156,85,9.37
X1.6,0.795814,0.204186,23,2.54
X2.28,0.995556,0.004444,7,0.77
X.9.63,0.75584,0.24416,8,0.88
X.9.64,0.999448,0.000552,2,0.22
X.9.65,0.999448,0.000552,2,0.22
X2.29,0.999446,0.000554,5,0.55
X.9.66,0.889435,0.110565,93,10.25
X1.7,0.899001,0.100999,6,0.66
X.9.67,0.84933,0.15067,11,1.21
X.9.68,0.996599,0.003401,25,2.76
X2.30,0.972958,0.027042,1,0.11
X2.31,0.924862,0.075138,2,0.22
X1.8,0.615556,0.384444,7,0.77
X.9.69,0.908638,0.091362,4,0.44
X1.9,0.90899,0.09101,6,0.66
X.9.70,0.984462,0.015538,6,0.66
X2.32,0.873867,0.126133,245,27.01
X2.33,0.963415,0.036585,5,0.55
X.9.71,0.899889,0.100111,3,0.33
X.9.72,0.810288,0.189712,3,0.33
X.9.73,0.916667,0.083333,19,2.09
X1.10,0.728889,0.271111,7,0.77
X2.34,0.965039,0.034961,6,0.66
X.9.74,0.755284,0.244716,8,0.88
X2.35,0.899558,0.100442,1,0.11
X2.36,0.801332,0.198668,6,0.66
X2.37,0.998897,0.001103,0,0.0
X.9.75,0.999447,0.000553,3,0.33
X.9.76,0.999434,0.000566,23,2.54
X.9.77,0.887872,0.112128,33,3.64
X.9.78,0.902331,0.097669,6,0.66
X.9.79,0.898559,0.101441,5,0.55
X1.11,0.88726,0.11274,20,2.21
X.9.80,0.859131,0.140869,9,0.99
X.9.81,0.988248,0.011752,439,48.4
X.9.82,0.965146,0.034854,118,13.01
X2.38,0.94,0.06,7,0.77
X.9.83,0.825556,0.174444,7,0.77
X2.39,0.887653,0.112347,8,0.88
X2.40,0.965155,0.034845,3,0.33
X.9.84,0.667598,0.332402,12,1.32
X.9.85,0.585967,0.414033,116,12.79
X.9.86,0.921667,0.078333,7,0.77
X.9.87,0.946013,0.053987,305,33.63
X.9.88,0.988876,0.011124,53,5.84
X2.41,0.837958,0.162042,6,0.66
X1.12,0.862469,0.137531,89,9.81
X1.13,0.925083,0.074917,6,0.66
X.9.89,0.789298,0.210702,10,1.1
X.9.90,0.935301,0.064699,26,2.87
X2.42,0.995556,0.004444,7,0.77
X1.14,0.735558,0.264442,128,14.11
X.9.91,0.782878,0.217122,101,11.14
X.9.92,0.605381,0.394619,15,1.65
X.9.93,0.95061,0.04939,6,0.66
X1.15,0.946903,0.053097,3,0.33
X.9.94,0.740864,0.259136,4,0.44
X.9.95,0.95616,0.04384,6,0.66
X.9.96,0.798566,0.201434,140,15.44
X.9.97,0.991061,0.008939,12,1.32
X.9.98,0.941537,0.058463,9,0.99
X.9.99,0.673356,0.326644,10,1.1
X2.43,0.948009,0.051991,3,0.33
X.9.100,0.536492,0.463508,126,13.89
X.9.101,0.666248,0.333752,110,12.13
X.9.102,0.973918,0.026082,6,0.66
X.9.103,0.959534,0.040466,5,0.55
X.9.104,0.99,0.01,7,0.77
X2.44,0.999438,0.000562,18,1.98
X.9.105,0.907407,0.092593,16,1.76
X.9.106,0.50993,0.49007,51,5.62
X2.45,0.884702,0.115298,18,1.98
X.9.107,0.996111,0.003889,7,0.77
X2.46,0.999446,0.000554,5,0.55
X.9.108,0.771496,0.228504,58,6.39
X.9.109,0.769722,0.230278,45,4.96
X.9.110,0.929844,0.070156,9,0.99
X.9.111,0.954698,0.045302,13,1.43
X.9.112,0.771413,0.228587,8,0.88
X.9.113,0.982701,0.017299,11,1.21
X1.16,0.575,0.425,7,0.77
X2.47,0.915642,0.084358,12,1.32
X2.48,0.99778,0.00222,6,0.66
X.9.114,0.75584,0.24416,8,0.88
X.9.115,0.980088,0.019912,3,0.33
X.9.116,0.777469,0.222531,6,0.66
X.9.117,0.931677,0.068323,102,11.25
X.9.118,0.729028,0.270972,156,17.2
X.9.119,0.819098,0.180902,64,7.06
X.9.120,0.998893,0.001107,4,0.44
X.9.121,0.981048,0.018952,10,1.1
X2.49,0.684385,0.315615,4,0.44
X1.17,0.506118,0.493882,8,0.88
X.9.122,0.806574,0.193426,116,12.79
X.9.123,0.885778,0.114222,14,1.54
X2.50,0.926275,0.073725,5,0.55
X2.51,0.924444,0.075556,7,0.77
X1.18,0.783166,0.216834,10,1.1
X2.52,0.843394,0.156606,29,3.2
X.9.124,0.646383,0.353617,36,3.97
X.9.125,0.590348,0.409652,16,1.76
X2.53,0.52154,0.47846,141,15.55
X2.54,0.812713,0.187287,26,2.87
X.9.126,0.850446,0.149554,11,1.21
X1.19,0.892617,0.107383,13,1.43
X.9.127,0.937847,0.062153,6,0.66
X1.20,0.604794,0.395206,10,1.1
X.9.128,0.642421,0.357579,89,9.81
X2.55,0.992664,0.007336,21,2.32
X2.56,0.905202,0.094798,42,4.63
X0.1,0.521542,0.478458,25,2.76
X.9.129,0.921405,0.078595,10,1.1
X.9.130,0.872768,0.127232,11,1.21
X.9.131,0.786511,0.213489,10,1.1
X2.57,0.619792,0.380208,139,15.33
X.9.132,0.567553,0.432447,4,0.44
X.9.133,0.940972,0.059028,43,4.74
X2.58,0.801559,0.198441,73,8.05
X.9.134,0.663494,0.336506,14,1.54
X.9.135,0.659864,0.340136,25,2.76
X.9.136,0.930089,0.069911,13,1.43
X2.59,0.982584,0.017416,17,1.87
X.9.137,0.611602,0.388398,114,12.57
X.9.138,0.919069,0.080931,5,0.55
X.9.139,0.650338,0.349662,19,2.09
X.9.140,0.905,0.095,7,0.77
X2.60,0.99023,0.00977,37,4.08
X1.21,0.85962,0.14038,13,1.43
X1.22,0.607242,0.392758,189,20.84
X2.61,0.916574,0.083426,8,0.88
X.9.141,0.915029,0.084971,42,4.63
X.9.142,0.831828,0.168172,21,2.32
X2.62,0.981236,0.018764,1,0.11
X2.63,0.947647,0.052353,57,6.28
X.9.143,0.999446,0.000554,5,0.55
X.9.144,0.976744,0.023256,4,0.44
X2.64,0.520642,0.479358,35,3.86
X2.65,0.992778,0.007222,7,0.77
X.9.145,0.67226,0.32774,13,1.43
X.9.146,0.504435,0.495565,5,0.55
X.9.147,0.978381,0.021619,5,0.55
X.9.148,0.907085,0.092915,46,5.07
X.9.149,0.790556,0.209444,7,0.77
X.9.150,0.767778,0.232222,7,0.77
X.9.151,0.699002,0.300998,5,0.55
X.9.152,1.0,0.0,6,0.66
X.9.153,0.982778,0.017222,7,0.77
X.9.154,0.773878,0.226122,38,4.19
X.9.155,0.999422,0.000578,42,4.63
X.9.156,0.948161,0.051839,10,1.1
X.9.157,0.568098,0.431902,92,10.14
X.9.158,0.597015,0.402985,36,3.97
X.9.159,0.999431,0.000569,29,3.2
X2.66,0.999449,0.000551,0,0.0
X.9.160,0.999436,0.000564,20,2.21
X.9.161,0.931239,0.068761,318,35.06
X.9.162,0.802997,0.197003,6,0.66
X1.23,0.935028,0.064972,22,2.43
X.9.163,0.999448,0.000552,1,0.11
X.9.164,0.897124,0.102876,3,0.33
X1.24,0.731924,0.268076,8,0.88
X2.67,0.999392,0.000608,84,9.26
X2.68,0.999444,0.000556,7,0.77
X.9.165,0.919822,0.080178,9,0.99
X2.69,0.960599,0.039401,6,0.66
X1.25,0.806362,0.193638,11,1.21
X1.26,0.543142,0.456858,3,0.33
X.9.166,0.55971,0.44029,11,1.21
X.9.167,0.83887,0.16113,4,0.44
X.9.168,0.983796,0.016204,43,4.74
X.9.169,0.899777,0.100223,9,0.99
X.9.170,0.822259,0.177741,4,0.44
X.9.171,0.989468,0.010532,5,0.55
X.9.172,0.997213,0.002787,10,1.1
X2.70,0.977679,0.022321,11,1.21
X.9.173,0.592635,0.407365,38,4.19
X.9.174,0.565914,0.434086,65,7.17
X1.27,0.62191,0.37809,17,1.87
X.9.175,0.95214,0.04786,19,2.09
X.9.176,0.936947,0.063053,3,0.33
X2.71,0.890487,0.109513,3,0.33
X.9.177,0.97386,0.02614,8,0.88
X.9.178,0.865455,0.134545,82,9.04
X1.28,0.612772,0.387228,171,18.85
X.9.179,0.977925,0.022075,1,0.11
X2.72,0.945183,0.054817,4,0.44
X.9.180,0.580159,0.419841,277,30.54
X2.73,0.80221,0.19779,2,0.22
X.9.181,0.909845,0.090155,3,0.33
X1.29,0.756667,0.243333,7,0.77
X.9.182,0.999443,0.000557,9,0.99
X.9.183,0.691537,0.308463,9,0.99
X.9.184,0.87357,0.12643,33,3.64
X.9.185,0.692135,0.307865,17,1.87
X2.74,0.763247,0.236753,20,2.21
X.9.186,0.682886,0.317114,13,1.43
X.9.187,0.853007,0.146993,9,0.99
X1.30,0.982565,0.017435,104,11.47
X.9.188,0.92,0.08,7,0.77
X2.75,0.898148,0.101852,43,4.74
X2.76,0.999448,0.000552,2,0.22
X.9.189,0.919977,0.080023,26,2.87
X2.77,0.990439,0.009561,18,1.98
X.9.190,0.643815,0.356185,236,26.02
X.9.191,0.973214,0.026786,11,1.21
X.9.192,0.975547,0.024453,130,14.33
X1.31,0.60221,0.39779,2,0.22
X.9.193,0.991131,0.008869,5,0.55
X2.78,0.999442,0.000558,11,1.21
X.9.194,0.999448,0.000552,2,0.22
X.9.195,0.90442,0.09558,2,0.22
X.9.196,0.999445,0.000555,6,0.66
X.9.197,0.77021,0.22979,4,0.44
X2.79,0.649889,0.350111,3,0.33
X2.80,0.999446,0.000554,5,0.55
X1.32,0.9375,0.0625,3,0.33
X2.81,0.641746,0.358254,71,7.83
X.9.198,0.97973,0.02027,19,2.09
X2.82,0.961017,0.038983,22,2.43
X.9.199,0.943094,0.056906,2,0.22
X2.83,0.906426,0.093574,20,2.21
X2.84,0.759136,0.240864,4,0.44
X.9.200,0.997216,0.002784,9,0.99
X.9.201,0.977002,0.022998,320,35.28
X2.85,0.836293,0.163707,6,0.66
X.9.202,0.781145,0.218855,16,1.76
X2.86,0.945251,0.054749,12,1.32
X.9.203,0.931573,0.068427,74,8.16
X2.87,0.970909,0.029091,82,9.04
X.9.204,0.912027,0.087973,9,0.99
X.9.205,0.921591,0.078409,27,2.98
X.9.206,0.955654,0.044346,5,0.55
X.9.207,0.861639,0.138361,65,7.17
X2.88,0.955645,0.044355,39,4.3
X.9.208,0.767539,0.232461,66,7.28
X2.89,0.985939,0.014061,18,1.98
X2.90,0.726697,0.273303,38,4.19
X.9.209,0.577664,0.422336,25,2.76
X.9.210,0.592407,0.407593,209,23.04
X2.91,0.812778,0.187222,7,0.77
X.9.211,0.914525,0.085475,12,1.32
X1.33,0.760358,0.239642,14,1.54
X.9.212,0.777592,0.222408,10,1.1
X.9.213,0.999448,0.000552,2,0.22
X2.92,0.871681,0.128319,3,0.33
X.9.214,0.999448,0.000552,2,0.22
X.9.215,0.92905,0.07095,12,1.32
X.9.216,0.967259,0.032741,6,0.66
X.9.217,0.975924,0.024076,14,1.54
X.9.218,0.632925,0.367075,8,0.88
X.9.219,1.0,0.0,16,1.76
X.9.220,0.986203,0.013797,1,0.11
X.9.221,0.854928,0.145072,4,0.44
X2.93,0.910655,0.089345,6,0.66
X.9.222,0.66387,0.33613,13,1.43
X1.34,0.714444,0.285556,7,0.77
X2.94,0.943764,0.056236,9,0.99
X.9.223,0.996678,0.003322,4,0.44
X2.95,0.876844,0.123156,26,2.87
X.9.224,0.9629,0.0371,31,3.42
X2.96,0.855543,0.144457,14,1.54
X2.97,0.999445,0.000555,6,0.66
X.9.225,0.960541,0.039459,20,2.21
X2.98,0.817451,0.182549,36,3.97
X2.99,0.980066,0.019934,4,0.44
X2.100,0.978211,0.021789,35,3.86
X0.2,0.582738,0.417262,67,7.39
X2.101,0.999439,0.000561,16,1.76
X2.102,0.723094,0.276906,15,1.65
X.9.226,0.847898,0.152102,3,0.33
X1.35,0.8125,0.1875,3,0.33
X.9.227,0.5,0.5,23,2.54
X2.103,0.993166,0.006834,29,3.2
X2.104,0.767296,0.232704,112,12.35
X.9.228,0.98495,0.01505,10,1.1
X2.105,0.948718,0.051282,10,1.1
X1.36,0.942458,0.057542,12,1.32
X.9.229,0.969962,0.030038,108,11.91
X2.106,0.998077,0.001923,127,14.0
X.9.230,0.593137,0.406863,91,10.03
X2.107,0.691176,0.308824,261,28.78
X.9.231,0.719716,0.280284,131,14.44
X2.108,0.883073,0.116927,9,0.99
X.9.232,0.998893,0.001107,4,0.44
X.9.233,0.944568,0.055432,5,0.55
X2.109,0.97677,0.02323,3,0.33
X.9.234,0.837169,0.162831,38,4.19
X.9.235,0.833333,0.166667,46,5.07
X2.110,0.968401,0.031599,100,11.03
X2.111,0.729003,0.270997,14,1.54
X2.112,0.768076,0.231924,8,0.88
X.9.236,0.768076,0.231924,8,0.88
X2.113,0.95438,0.04562,85,9.37
X2.114,0.992231,0.007769,6,0.66
X.9.237,0.907051,0.092949,283,31.2
X.9.238,0.999448,0.000552,1,0.11
X.9.239,0.625514,0.374486,178,19.63
X.9.240,0.984199,0.015801,21,2.32
X.9.241,0.614782,0.385218,14,1.54
X.9.242,0.61491,0.38509,15,1.65
X0.3,0.642619,0.357381,6,0.66
X2.115,0.868771,0.131229,4,0.44
X.9.243,0.929922,0.070078,8,0.88
X.9.244,0.986711,0.013289,4,0.44
X2.116,0.999448,0.000552,1,0.11
X.9.245,0.985616,0.014384,38,4.19
X2.117,0.903563,0.096437,93,10.25
X.9.246,0.949831,0.050169,20,2.21
X.9.247,0.999446,0.000554,4,0.44
X.9.248,0.86485,0.13515,8,0.88
X.9.249,0.700783,0.299217,13,1.43
X.9.250,0.775996,0.224004,3,0.33
X2.118,0.908084,0.091916,4,0.44
X1.37,0.917497,0.082503,4,0.44
X1.38,0.579356,0.420644,6,0.66
X2.119,0.931667,0.068333,7,0.77
X.9.251,0.972345,0.027655,3,0.33
X.9.252,0.707778,0.292222,7,0.77
X.9.253,0.617222,0.382778,7,0.77
X2.120,0.763099,0.236901,10,1.1
X.9.254,0.989385,0.010615,12,1.32
X2.121,0.952169,0.047831,8,0.88
X.9.255,0.996644,0.003356,13,1.43
X.9.256,0.61811,0.38189,18,1.98
X.9.257,0.981502,0.018498,15,1.65
X.9.258,0.979556,0.020444,51,5.62
X.9.259,0.920023,0.079977,38,4.19
X.9.260,0.999358,0.000642,128,14.11
X.9.261,0.99278,0.00722,76,8.38
X.9.262,0.978041,0.021959,19,2.09
X.9.263,0.969101,0.030899,17,1.87
X.9.264,0.981707,0.018293,5,0.55
X.9.265,0.565338,0.434662,4,0.44
X1.39,0.612528,0.387472,5,0.55
X2.122,0.866815,0.133185,6,0.66
X.9.266,0.880423,0.119577,8,0.88
X.9.267,0.919192,0.080808,16,1.76
X.9.268,0.523641,0.476359,61,6.73
X.9.269,0.945736,0.054264,4,0.44
X.9.270,0.977679,0.022321,11,1.21
X.9.271,0.999446,0.000554,4,0.44
X2.123,0.998272,0.001728,39,4.3
X2.124,0.999425,0.000575,38,4.19
X.9.272,0.945067,0.054933,15,1.65
X2.125,0.940324,0.059676,44,4.85
X.9.273,0.650723,0.349277,8,0.88
X.9.274,0.651071,0.348929,20,2.21
X.9.275,0.953591,0.046409,2,0.22
X2.126,0.800339,0.199661,23,2.54
X2.127,0.946365,0.053635,68,7.5
X.9.276,0.927384,0.072616,5,0.55
X2.128,0.987307,0.012693,1,0.11
X2.129,0.986592,0.013408,12,1.32
X.9.277,0.999444,0.000556,7,0.77
X.9.278,0.999447,0.000553,3,0.33
X2.130,0.999415,0.000585,53,5.84
X.9.279,0.578002,0.421998,16,1.76
X.9.280,0.744816,0.255184,39,4.3
X.9.281,0.657191,0.342809,10,1.1
X.9.282,0.645743,0.354257,214,23.59
X.9.283,0.910023,0.089977,29,3.2
X2.131,0.987818,0.012182,4,0.44
X.9.284,0.961752,0.038248,5,0.55
X1.40,0.893617,0.106383,14,1.54
X.9.285,0.965632,0.034368,5,0.55
X.9.286,0.986947,0.013053,26,2.87
X2.132,0.999448,0.000552,1,0.11
X2.133,0.985507,0.014493,10,1.1
X.9.287,0.731964,0.268036,6,0.66
X.9.288,0.530235,0.469765,14,1.54
X.9.289,0.528365,0.471635,8,0.88
X.9.290,0.857539,0.142461,5,0.55
X.9.291,0.879888,0.120112,12,1.32
X.9.292,0.878484,0.121516,10,1.1
X2.134,0.992274,0.007726,1,0.11
X.9.293,0.503959,0.496041,23,2.54
X.9.294,0.801772,0.198228,4,0.44
X.9.295,0.94629,0.05371,4,0.44
X1.41,0.636618,0.363382,14,1.54
X.9.296,0.949059,0.050941,4,0.44
X.9.297,0.87863,0.12137,46,5.07
X.9.298,0.901117,0.098883,12,1.32
X2.135,0.658551,0.341449,65,7.17
X2.136,0.890898,0.109102,50,5.51
X1.42,0.642698,0.357302,10,1.1
X1.43,0.669623,0.330377,5,0.55
X.9.299,0.817701,0.182299,150,16.54
X1.44,0.963743,0.036257,52,5.73
X.9.300,0.920415,0.079585,40,4.41
X.9.301,0.767373,0.232627,58,6.39
X2.137,0.85241,0.14759,77,8.49
X.9.302,0.936488,0.063512,104,11.47
X.9.303,0.986696,0.013304,5,0.55
X2.138,0.95805,0.04195,25,2.76
X2.139,0.752708,0.247292,76,8.38
X.9.304,0.999445,0.000555,6,0.66
X.9.305,0.973481,0.026519,2,0.22
X.9.306,0.972808,0.027192,6,0.66
X.9.307,0.832962,0.167038,9,0.99
X1.45,0.801667,0.198333,7,0.77
X.9.308,0.642267,0.357733,60,6.62
X.9.309,0.932886,0.067114,13,1.43
X1.46,0.7049,0.2951,9,0.99
X.9.310,0.897238,0.102762,2,0.22
X2.140,0.978429,0.021571,3,0.33
X2.141,0.999448,0.000552,1,0.11
X.9.311,0.944568,0.055432,5,0.55
X.9.312,0.540541,0.459459,130,14.33
X1.47,0.758047,0.241953,6,0.66
X2.142,0.701657,0.298343,2,0.22
X.9.313,0.999445,0.000555,6,0.66
X2.143,0.672376,0.327624,2,0.22
X.9.314,0.669098,0.330902,153,16.87
X1.48,0.844944,0.155056,17,1.87
X.9.315,0.813914,0.186086,23,2.54
X1.49,0.722346,0.277654,12,1.32
X2.144,0.865361,0.134639,90,9.92
X.9.316,0.949501,0.050499,6,0.66
X2.145,0.930323,0.069677,10,1.1
X2.146,0.994481,0.005519,1,0.11
X2.147,0.547938,0.452062,10,1.1
X.9.317,0.856571,0.143429,32,3.53
X2.148,0.993642,0.006358,42,4.63
X2.149,0.961794,0.038206,4,0.44
X.9.318,0.913793,0.086207,8,0.88
X.9.319,0.999368,0.000632,116,12.79
X.9.320,0.983853,0.016147,9,0.99
X2.150,0.941307,0.058693,4,0.44
X.9.321,0.501208,0.498792,79,8.71
X.9.322,0.514444,0.485556,7,0.77
X.9.323,0.944186,0.055814,47,5.18
X2.151,0.76412,0.23588,4,0.44
X2.152,0.999446,0.000554,5,0.55
X0.4,0.613535,0.386465,13,1.43
X.9.324,0.943067,0.056933,20,2.21
X.9.325,0.820067,0.179933,15,1.65
X.9.326,0.938957,0.061043,6,0.66
X.9.327,0.68869,0.31131,14,1.54
X.9.328,0.868481,0.131519,25,2.76
X.9.329,0.860465,0.139535,4,0.44
X.9.330,0.977876,0.022124,3,0.33
X1.50,0.719823,0.280177,4,0.44
X2.153,0.998897,0.001103,0,0.0
X2.154,0.984427,0.015573,8,0.88
X2.155,0.968889,0.031111,7,0.77
X.9.331,0.954343,0.045657,9,0.99
X.9.332,0.91314,0.08686,9,0.99
X.9.333,0.927624,0.072376,2,0.22
X.9.334,0.864191,0.135809,5,0.55
X.9.335,0.995418,0.004582,34,3.75
X.9.336,0.82138,0.17862,168,18.52
X.9.337,0.915437,0.084563,26,2.87
X.9.338,1.0,0.0,17,1.87
X2.156,0.505556,0.494444,7,0.77
X.9.339,0.502247,0.497753,17,1.87
X2.157,0.947309,0.052691,15,1.65
X2.158,0.925365,0.074635,16,1.76
X.9.340,0.573653,0.426347,72,7.94
X.9.341,0.916295,0.083705,11,1.21
X2.159,0.911308,0.088692,5,0.55
X.9.342,0.821508,0.178492,5,0.55
X.9.343,0.779576,0.220424,11,1.21
X.9.344,0.998392,0.001608,285,31.42
X2.160,0.998895,0.001105,2,0.22
X2.161,0.982281,0.017719,4,0.44
X.9.345,0.981174,0.018826,4,0.44
X.9.346,0.675419,0.324581,12,1.32
X.9.347,0.885984,0.114016,8,0.88
X.9.348,0.763827,0.236173,3,0.33
X1.51,0.567522,0.432478,11,1.21
X2.162,0.933259,0.066741,8,0.88
X2.163,0.98913,0.01087,33,3.64
X.9.349,0.5,0.5,13,1.43
X2.164,0.980469,0.019531,11,1.21
X.9.350,0.819663,0.180337,17,1.87
X2.165,0.773522,0.226478,163,17.97
X.9.351,0.896993,0.103007,9,0.99
X1.52,0.681257,0.318743,16,1.76
X2.166,0.999447,0.000553,3,0.33
X.9.352,0.504027,0.495973,162,17.86
X.9.353,0.739229,0.260771,25,2.76
X2.167,0.985101,0.014899,68,7.5
X.9.354,0.87078,0.12922,48,5.29
X2.168,0.931264,0.068736,5,0.55
X.9.355,0.518415,0.481585,11,1.21
X.9.356,0.551168,0.448832,8,0.88
X1.53,0.94526,0.05474,21,2.32
X.9.357,0.931492,0.068508,2,0.22
X.9.358,0.802778,0.197222,7,0.77
X.9.359,0.595318,0.404682,10,1.1
X.9.360,0.737319,0.262681,79,8.71
X.9.361,0.681818,0.318182,181,19.96
X.9.362,0.88219,0.11781,3,0.33
X.9.363,0.851016,0.148984,21,2.32
X1.54,0.899113,0.100887,5,0.55
X1.55,0.965155,0.034845,3,0.33
X.9.364,0.961024,0.038976,9,0.99
X.9.365,0.966592,0.033408,9,0.99
X2.169,0.89588,0.10412,9,0.99
X.9.366,0.932927,0.067073,5,0.55
X.9.367,0.924917,0.075083,8,0.88
X.9.368,0.941111,0.058889,7,0.77
X.9.369,0.829677,0.170323,132,14.55
X.9.370,0.827374,0.172626,96,10.58
X.9.371,0.967222,0.032778,7,0.77
X2.170,0.983925,0.016075,5,0.55
X.9.372,0.986096,0.013904,8,0.88
X2.171,0.999363,0.000637,122,13.45
X.9.373,0.999447,0.000553,3,0.33
X.9.374,0.992688,0.007312,18,1.98
X.9.375,0.974605,0.025395,21,2.32
X.9.376,0.781737,0.218263,9,0.99
X.9.377,0.767481,0.232519,6,0.66
X.9.378,0.65419,0.34581,12,1.32
X2.172,0.999446,0.000554,4,0.44
X.9.379,0.856826,0.143174,6,0.66
X2.173,0.869932,0.130068,19,2.09
X.9.380,0.818889,0.181111,7,0.77
X.9.381,0.887902,0.112098,6,0.66
X.9.382,0.960177,0.039823,3,0.33
X.9.383,0.754704,0.245296,163,17.97
X2.174,0.928651,0.071349,10,1.1
X.9.384,0.580899,0.419101,17,1.87
X.9.385,0.506215,0.493785,22,2.43
X.9.386,0.629464,0.370536,11,1.21
X.9.387,0.997732,0.002268,25,2.76
X2.175,0.995429,0.004571,32,3.53
X.9.388,0.602854,0.397146,66,7.28
X.9.389,0.636417,0.363583,53,5.84
X2.176,0.987265,0.012735,4,0.44
X.9.390,0.987236,0.012764,6,0.66
X2.177,0.961624,0.038376,8,0.88
X.9.391,0.979513,0.020487,4,0.44
X.9.392,0.775498,0.224502,54,5.95
X.9.393,0.825362,0.174638,8,0.88
X1.56,0.649714,0.350286,32,3.53
X2.178,0.918089,0.081911,28,3.09
X2.179,0.938196,0.061804,9,0.99
X2.180,0.91573,0.08427,17,1.87
X.9.394,0.955249,0.044751,2,0.22
X1.57,0.780177,0.219823,4,0.44
X.9.395,0.952141,0.047859,113,12.46
X.9.396,0.977273,0.022727,5,0.55
X.9.397,0.809927,0.190073,81,8.93
X.9.398,0.812709,0.187291,10,1.1
X.9.399,0.650113,0.349887,21,2.32
X.9.400,0.691257,0.308743,175,19.29
X.9.401,0.999446,0.000554,4,0.44
